_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
369,Залізничний,Любінська,168,"""Зодіак""",12.0,"ТзОВ ""Полісервіс"" (дир. Матвєєва Л.М.)",NULL,30.0,032,2256323.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
370,Галицький,Братів Рогатинців,10,Корзо-ПАБ,40.0,"ПП ""Корзо""",NULL,100.0,032,2257092.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
371,Личаківський,Личаківська,151,"Ресторан ""Роден""",30.0,"ТзОВ ""Компанія Водолій""",NULL,127.1,032,2257753.0,NULL,NULL,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
372,Залізничний,Залізнична,14,"""Кафе""",18.0,"ПП ""Підвальне"" (кер. Напірко Стефанія Йосифівна)",NULL,35.0,032,2261064.0,NULL,NULL,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00
373,Сихівський,Хуторівка,26,"ресторан ""Червона рута""",100.0,"ТзОВ ""Галицька кухня""",NULL,170.0,032,2273215.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
374,Франківський,Київська,15.0,"кафе ""Веселий Роджер""",45.0,ФОП Нечай Тятяна Ярославівна,NULL,150.0,032,2274786.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
375,Франківський,Володимира Великого,42.0,"бар ""Рубці""",30.0,"ПП ""Рубці""",NULL,60.0,032,2302805.0,NULL,NULL,NULL,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,11:00-15:00,вихідний,вихідний
376,Шевченківський,"Чорновола В.,просп.",93,"""Хінкальня"" Грузинський ресторан",58.0,"ТзОВ ""Укропсервіс""",NULL,60.0,032,2317106.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
377,Сихівський,Зубрівська,38,"ресторан ""Вишиванка""",30.0,Одинець Н.А.,NULL,70.0,032,2320132.0,NULL,NULL,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,NULL,NULL
378,Галицький,Шухевича,3,"ресторан ""Celentano Ristorante""",NULL,"ТзОВ ""Компанія ""ТБК Груп""",NULL,NULL,032,2320901.0,NULL,NULL,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
379,Сихівський,Морозна,14,"ресторан ""Соната""",350.0,Машталєр,NULL,600.0,032,2325000.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
380,Шевченківський,"Чорновола В.,просп.",67Г,"""Піцерія""",25.0,Викалюк Юрій Володимирович,NULL,40.0,032,2327729.0,NULL,NULL,NULL,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,10:00-01:00,вихідний,вихідний
381,Сихівський,Хуторівка,40А,"ресторан ""Афродита""",120.0,Гладка Є.К.,NULL,290.0,032,2328448.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
382,Залізничний,Шевченка Т.,41А,"піцерія ""Чао-Белла""",25.0,Білик Назар Ігорови,Хом'як Ганна Миколаївна,NULL,032,2333077.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
383,Залізничний,Степанівни О.,50,"кафе ""Для тебе""",45.0,"ТзОВ ""Лім-Ігор"" (кер. Ватуляк Ігор Іванович)",NULL,NULL,032,2333183.0,NULL,NULL,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00
384,Шевченківський,Шевченка Т.,4,NULL,20.0,"ТзОВ ""Галичанка-1""",NULL,32.0,032,2333516.0,NULL,NULL,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
385,Шевченківський,Шевченка Т.,74,"""Кафе-бар Наш двір""",25.0,Туранський Андрій Леонідович,NULL,80.0,032,2334274.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний
386,Франківський,Граб'янки,28.0,"кафе ""Кафе ""На Грабянки""",25.0,ФОП Габріель Орест борисович,NULL,50.0,032,2342333.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
387,Франківський,Володимира Великого,123.0,"піцерія ""Челентано""",70.0,"ТзОВ ""Челяпі""",NULL,100.0,032,2342774.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
388,Галицький,Лесі Українки,12,Монс-Піус,NULL,ТзОВ Монс-Піус,NULL,93.7,032,2352168.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
389,Галицький,"Ринок, пл.",34,Кентавр,50.0,ІКФ Інтехна-Львів,NULL,273.8,032,2352168.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
390,Галицький,Валова,19,Французька здоба,15.0,"ТзОВ ""Укрспектрол""",NULL,58.0,032,2354095.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
391,Галицький,Староєврейська,15,Букет вина,35.0,Сотник П.Д.,NULL,70.0,032,2354127.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
392,Галицький,Вірменська,14,Брудершафт,50.0,"ПП ""Євроенерго""",NULL,128.7,032,2354243.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
393,Галицький,Хмельницького Б.,2/4,Цісар,30.0,"ТзОВ ""Тет-А-Тет""",NULL,108.2,032,2354379.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
394,Галицький,"Ринок, пл.",39,Мафія,60.0,ТзОВ Дарума Плюс,NULL,708.3,032,2354510.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
395,Галицький,Староєврейська,8,Гастропаб Хенліс,NULL,Фролова Н.В,NULL,64.5,032,2354522.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
396,Галицький,Краківська,34,Арома кава,NULL,ТзОВ Валерія,NULL,32.2,032,2354588.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
397,Галицький,Братів Рогатинців,43,La Jardin,15.0,ПП Зубо Компані,NULL,33.3,032,2354719.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
398,Галицький,"Ринок, пл.",8,Хінкальня,NULL,ПП Домінікан,NULL,55.0,032,2355124.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
399,Галицький,Підвальна,9,Кальчо,35.0,АТЗТ Ліквідні цінні папери,NULL,76.0,032,2355187.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
400,Галицький,Староєврейська,18,Wine House,NULL,Ярема-семкулич Н.В.,NULL,28.8,032,2355316.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
401,Галицький,Лесі Українки,21,Black Wood,20.0,Скоп Р.М.,NULL,60.1,032,2355665.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
402,Галицький,Театральна,23,"кафе ""Залізна шапка""",NULL,"ТзОВ ""Ольжан і Ко""",NULL,NULL,032,2355686.0,NULL,NULL,NULL,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,вихідний,вихідний
403,Галицький,Староєврейська,16,Обідні принади,NULL,Біщук О.С.,NULL,79.9,032,2355702.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
404,Галицький,"Шевченка Т., просп.",11,Галицька кухня,10.0,ТОВ Лігма,NULL,NULL,032,2355747.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
405,Галицький,"Соборна, пл.",2А,На Соборній,50.0,ТзОВ Доротея,NULL,146.5,032,2355774.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
406,Галицький,"Соборна, пл.",NULL,Бігос Паб,NULL,ТзОВ Зірочка,NULL,142.6,032,2355774.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
407,Галицький,Сербська,13,Трапезна,NULL,Строгуш Р.С.,NULL,NULL,032,2355781.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
408,Галицький,Братів Рогатинців,10,NULL,NULL,"ТзОВ ""Ардея""",NULL,35.1,032,2355822.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
409,Галицький,Федорова І.,20,Золотий дукат,NULL,Палій С.В.,NULL,55.9,032,2356263.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
410,Галицький,Валова,3,Велика тарілка,NULL,Вікалюк В.В,NULL,204.4,032,2356317.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
411,Галицький,Староєврейська,10,Жовтий віслюк,NULL,Устенна Л.Й,NULL,24.0,032,2356502.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
412,Галицький,Ставропігійська,9,Ноїв ковчег,NULL,ПП Розалія,NULL,218.4,032,2356521.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
413,Галицький,Федорова І.,27,Артбар,NULL,Гомонай Я.О.,NULL,36.9,032,2356597.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
414,Галицький,Ставропігійська,3,Старий Рояль,60.0,ТзОВ Старий Рояль,NULL,164.4,032,2356694.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
415,Галицький,Сербська,6,Ностальгія,20.0,ТзОВ Русмар,NULL,36.1,032,2356750.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
416,Галицький,Друкарська,6А,Закарпатське від мКопача,NULL,Лазірко Л.М.,NULL,84.7,032,2357147.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
417,Галицький,Руська,16,Львівська прем’єра,NULL,ТзОВ Боревітер,NULL,217.6,032,2357335.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
418,Галицький,Федорова І.,12,Чарівний ліхтар,30.0,Домащук Р.М.,NULL,56.3,032,2357461.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
419,Галицький,Вірменська,35,Коммуна,NULL,"ПП ""ЦЕОЛ""",NULL,138.8,032,2357771.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
420,Галицький,Братів Рогатинців,15,"Бістро ""Час поїсти""",50.0,"ПП ""Прайм-А-Сервіс""",NULL,330.4,032,2357825.0,NULL,NULL,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
421,Галицький,"Ринок, пл.",42,NULL,NULL,Клак С.С.,NULL,70.1,032,2357850.0,NULL,NULL,NULL,ремонт,ремонт,ремонт,ремонт,ремонт,ремонт,ремонт
422,Галицький,"Ринок, пл.",44,Атляс,40.0,ТзОВ Атляс,NULL,141.0,032,2358188.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
423,Галицький,Староєврейська,11,Зелена сливка,NULL,Голубенко О.І.,NULL,99.1,032,2358642.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
424,Галицький,Староєврейська,5,"Арома кава, Бургер",NULL,Величко І.Я,NULL,94.8,032,2358725.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
425,Галицький,Лесі Українки,17,Винарня Фабрика корків,NULL,Кушлинський С.О.,NULL,51.4,032,2358837.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
426,Галицький,Валова,16,ТЦ Локаль,25.0,Шевчук С.М.,NULL,63.6,032,2367080.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
427,Франківський,Горбачевського І.,4.0,"кафе-кав'ярня ""Кавовий рай""",20.0,ФОП Дуда Роман Петрович,NULL,45.0,032,2370146.0,NULL,NULL,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,10:00-18:00,10:00-18:00
428,Франківський,Коновальця Є.,103.0,"""ГотельТурист""",25.0,"ПАТ ""Львів турист""",NULL,85.0,032,2370624.0,NULL,NULL,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,вихідний,вихідний
429,Франківський,Васильківського С.,1.0,"бар ""Кава""",22.0,"ТзОВ ""Кава""",NULL,30.0,032,2372484.0,NULL,NULL,NULL,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,08:00-20:00,10:00-17:00,10:00-17:00
430,Франківський,Глибока,NULL,"кав'ярня, кондитерська ""Фраєрка""",40.0,"ПП ""Приватний магазин ""ГАЛИЧИНА""",NULL,100.0,032,2373850.0,NULL,NULL,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
431,Франківський,"Рудницького С., акад.",39.0,"""Андерсен""",30.0,ФОП Базюк Тетяна Михайлівна,NULL,50.0,032,2373879.0,NULL,NULL,NULL,проводиться ремонт,проводиться ремонт,проводиться ремонт,проводиться ремонт,проводиться ремонт,вихідний,вихідний
432,Франківський,Коновальця Є.,50.0,"кафе ""Темп""",25.0,"ТзОВ ""Таісія""",NULL,50.0,032,2376202.0,NULL,NULL,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
433,Франківський,Київська,7.0,"кафе ""Сіли-зїли""",40.0,"ПП ""Біомед""",NULL,80.0,032,2376777.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,11:00-22:00,11:00-22:00
434,Залізничний,Кузневича Г.,16А,"""Тарон""",80.0,"ПП ""ІКФ ""Інтехна-Львів"" (кер. Арзуманян В.З.)",NULL,NULL,032,2377035.0,NULL,NULL,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00
435,Шевченківський,Кринична,1,кафе-бар,20.0,"ТзОВ ""Дукат""",NULL,70.0,032,2377097.0,NULL,NULL,NULL,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,07:00-21:00,вихідний,вихідний
436,Франківський,"Кропивницького М., пл.",12.0,"кафе ""Картопляна хата""",50.0,ФОП Гамаровська О.В.,NULL,100.0,032,2377770.0,NULL,NULL,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,вихідний,вихідний
437,Франківський,Київська,20.0,"кафе ""Пирогова хата""",36.0,"ТзОВ ""Ю.Н.С.""",NULL,90.0,032,2378293.0,0322378304  ,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,11:00-23:00
438,Франківський,Бандери С.,59.0,"кафе-бар ""Кабе-бар ""Лілія""",40.0,"ТзОВ ""Лілія""",NULL,60.0,032,2378705.0,NULL,NULL,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-16:00,вихідний
439,Галицький,Староєврейська,6,NULL,15.0,ТзОВ Донер Фабрік,NULL,39.9,032,2378723.0,NULL,NULL,NULL,ремонт,ремонт,ремонт,ремонт,ремонт,ремонт,ремонт
440,Франківський,Японська,7.0,"кафе ""Бальва саля""",45.0,"ПАТ ""Бібльос""",NULL,70.0,032,2381495.0,NULL,NULL,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,вихідний,вихідний
441,Франківський,"Кропивницького М., пл.",6.0,"пиріжкова ""Пиріжкова""",20.0,"ТзОВ ""Леся""",NULL,60.0,032,2382364.0,NULL,NULL,NULL,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,07:30-19:30,вихідний
442,Франківський,Бандери С.,29.0,"кафе-бістро ""Casa buritto""",10.0,ФОП Нестеренко Назар Богданович,NULL,25.0,032,2384192.0,NULL,NULL,NULL,08:30-05:00,08:30-05:00,08:30-05:00,08:30-05:00,08:30-05:00,вихідний,вихідний
443,Франківський,Городоцька,187.0,"кафе ""Немезіда""",40.0,"ДП ""Фенікс-трейд""",NULL,90.0,032,2384236.0,NULL,NULL,NULL,08:00-23:00 ,08:00-23:00 ,08:00-23:00 ,08:00-23:00 ,08:00-23:00 ,вихідний,вихідний
444,Франківський,"Сахарова А.,акад.",8.0,"кафе ""Парк""",40.0,"ТзОВ ""Компанія ""Акорд""",NULL,80.0,032,2386844.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
445,Франківський,"Чупринки Т.,ген.",59.0,"кафе-кав'ярня ""Галка""",32.0,"ТзОВ ""Галвест маркет""",NULL,45.0,032,2389881.0,NULL,NULL,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
446,Залізничний,Залізнична,50,"кав'ярня ""Наша хата""",24.0,Ярмус Оксана Романівна,NULL,NULL,032,2395185.0,NULL,NULL,NULL,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,вихідний,вихідний
447,Залізничний,Городоцька,222,"""Чебуречна""",32.0,Бокало Оксана Іванівна,NULL,NULL,032,2400954.0,NULL,NULL,NULL,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,09:30-20:00,11:00-19:00
448,Залізничний,Яворницького Д.,8.0,Кафе,20.0,"ТзОВ ""Січовик-2"" (кер. Кишкан З.В.)",NULL,35.0,032,2401925.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
449,Франківський,"Сахарова А.,акад.",7.0,"ресторан ""Аврора""",100.0,"ДП ""Фенікс-трейд""",NULL,120.0,032,2402031.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
450,Франківський,"Сахарова А.,акад.",19А,"кафе ""Золотий лимон""",50.0,ФОП Левик М.Й.,NULL,80.0,032,2402130.0,NULL,NULL,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,вихідний,вихідний
451,Сихівський,Зелена,407,"кафе ""Старий Сихів""",50.0,Тлумак А.Б.,NULL,80.0,032,2405262.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
452,Сихівський,"Червоної Калини, просп. ",94,кафе „Дукан”,50.0,"ТзОВ ""Ромб""",NULL,60.0,032,2406750.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
453,Залізничний,Виговського І.,47.0,"піцерія Челентано""",80.0,Возняк Ольга Іванівна,Литвин ІннаПетрівна ,224.0,032,2417260.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
454,Сихівський,Драгана М.,13,"кафе ""Тема""",60.0,"ПП ""Луксор""",NULL,30.0,032,2417501.0,NULL,NULL,NULL,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,12:00-23:00,NULL,NULL
455,Галицький,Братів Рогатинців,45,"Місько Пструг, Петро Братванка",60.0,Коць В.П,NULL,288.8,032,2420111.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
456,Личаківський,Личаківська,4-6,"Піцерія ""Челентано""",36.0,СПД ФО Заяць С.В.,NULL,193.5,032,2420527.0,NULL,NULL,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,вихідний,вихідний
457,Шевченківський,"Чорновола В.,просп.",63,"Кафе ""Друзі""",30.0,Ребрик Микола Юрійович,NULL,60.0,032,2420579.0,NULL,NULL,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,10:00-22:00,10:00-22:00
458,Шевченківський,Клепарівська,18,"ресторан ""Роберт Домс""",300.0,"ТзОВ ""Альфа-Бета""",NULL,400.0,032,2422594.0,NULL,NULL,NULL,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,12:00-24:00,вихідний,вихідний
459,Личаківський,Тершаковців,6,Євроготель,120.0,"ТзОВ ""Євроготель""",NULL,350.0,032,2423165.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
460,Галицький,Арсенальська,5.0,"Цукернича кав’ярня ""Арсенальська""",NULL,"ПП""Цукернича кав’ярня ""Арсенальська""",NULL,69.8,032,2425071.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
461,Шевченківський,"Мазепи І., гетьм.",11Г,"""CHICAGO STYLE PIZZA""",52.0,Свиріпа Галина Йосипівна,NULL,161.0,032,2430558.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
462,Франківський,Окружна,14.0,"готель, ресторан ""Райське яблуко""",NULL,NULL,NULL,NULL,032,2435387.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
463,Шевченківський,"Чорновола В.,просп.",59.0,"кафе-бар ""Марія""",30.0,"ПП ""ВКЦ ""Замарстинів""",NULL,70.0,032,2440187.0,NULL,NULL,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00
464,Залізничний,Городоцька,234Б,"кафе-бар ""Галичина""",30.0,"ПП ""Галичина""",NULL,40.0,032,2441595.0,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
465,Франківський,Горбачевського І.,22.0,"піцерія ""Челентано""",52.0,"ПП ""Гучва""",NULL,150.0,032,2443447.0,NULL,NULL,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
466,Франківський,Героїв Майдану,4.0,"ресторан ""Чорний кіт""",50.0,"ДП ""Албіс Компані"" ТзОВ ""Діаніум Трейдінг Ко Лімітед""",NULL,80.0,032,2444240.0,0322986028,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
467,Галицький,Городоцька,8,Караоке клуб 888,50.0,ТзОВ Дзиґа,NULL,169.7,032,2444779.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
468,Галицький,Вірменська,20,Гасова лямпа,60.0,"ТзОВ ""Мінпрод Галичини""",NULL,269.6,032,2444912.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
469,Галицький,Коперника М.,1,Золота роза,50.0,ТзОВ Мінпрод Галичини,NULL,NULL,032,2444912.0,NULL,NULL,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
470,Галицький,Сербська,7,Мазох,20.0,ТзОВ Мінпрод Галичини,NULL,111.6,032,2444912.0,NULL,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
471,Шевченківський,Липинського В.,36,Занзібар,56.0,"ПП ""СКІВ""",NULL,814.0,032,2445405.0,0322728004,NULL,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
472,Сихівський,Сихівська,22,"ресторан ""Леополія""",100.0,Куриляк О.Б.,NULL,150.0,032,2446362.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
473,Сихівський,Сихівська,22,"кафе-паб ""Гальба""",60.0,Куриляк О.Б.,NULL,70.0,032,2446365.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
474,Сихівський,Довженка О.,5,"кафе ""Стожари""",100.0,Гинда О.П.,NULL,180.0,032,2446464.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,NULL,NULL
475,Франківський,Володимира Великого,123.0,"бар ""Лісандра""",20.0,"ПП ""Лісандра""",NULL,50.0,032,2447062.0,NULL,NULL,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,вихідний,вихідний
476,Залізничний,Кульпарківська,222/2,"""Персей""",80.0,Альфавіцька Галина Іванівна,NULL,NULL,032,2447174.0,NULL,NULL,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
477,Залізничний,Бортнянського Д.,25,"""Кафе-бар""",36.0,"ТзОВ ""Домобудівник""",NULL,35.0,032,2450390.0,NULL,NULL,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00
